date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:29:12	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2007:29:11%20GMT	https://luxehotel.webhotel.vn/robots.txt		(from )
14:29:12	48352/48352	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Mar%202023%2007:29:12%20GMT	https://luxehotel.webhotel.vn/	C:/Users/Mr%20Duong/Desktop/codweb/luxehotel.webhotel.vn/index.html	(from )
14:29:13	3410/3410	---M--	200	added ('OK')	image/x-icon	etag:%2220b615b07166d81:0%22	https://luxehotel.webhotel.vn/favicon.ico	C:/Users/Mr%20Duong/Desktop/codweb/luxehotel.webhotel.vn/favicon.ico	(from https://luxehotel.webhotel.vn/)
14:29:13	28288/28288	---M--	200	added ('OK')	text/css	etag:%226a11367a9c8d81:0%22	https://luxehotel.webhotel.vn/Content/Css/main.css	C:/Users/Mr%20Duong/Desktop/codweb/luxehotel.webhotel.vn/Content/Css/main.css	(from https://luxehotel.webhotel.vn/)
14:29:13	5509/5509	---M--	200	added ('OK')	text/css	etag:%229e896bbbc8d81:0%22	https://luxehotel.webhotel.vn/Content/Css/responsive.css	C:/Users/Mr%20Duong/Desktop/codweb/luxehotel.webhotel.vn/Content/Css/responsive.css	(from https://luxehotel.webhotel.vn/)
14:29:14	9068/9068	---M--	200	added ('OK')	text/css	etag:%228df210179c8d81:0%22	https://luxehotel.webhotel.vn/Content/Css/room.css	C:/Users/Mr%20Duong/Desktop/codweb/luxehotel.webhotel.vn/Content/Css/room.css	(from https://luxehotel.webhotel.vn/)
14:29:14	101784/101784	---M-Z	200	added ('OK')	text/css	etag:%22630e6e62-543a%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.0/css/all.min.css	C:/Users/Mr%20Duong/Desktop/codweb/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.0/css/all.min.css	(from https://luxehotel.webhotel.vn/)
14:29:15	160308/160308	---M--	200	added ('OK')	text/css	etag:%22e1df35ca845d81:0%22	https://luxehotel.webhotel.vn/Files/plugins/bootstrap-4.5.2/css/bootstrap.min.css	C:/Users/Mr%20Duong/Desktop/codweb/luxehotel.webhotel.vn/Files/plugins/bootstrap-4.5.2/css/bootstrap.min.css	(from https://luxehotel.webhotel.vn/)
14:29:15	174337/174337	---M--	200	added ('OK')	text/css	etag:%22ad8775ba845d81:0%22	https://luxehotel.webhotel.vn/Files/fonts/fontawesome-pro-5.15.2/css/all.min.css	C:/Users/Mr%20Duong/Desktop/codweb/luxehotel.webhotel.vn/Files/fonts/fontawesome-pro-5.15.2/css/all.min.css	(from https://luxehotel.webhotel.vn/)
14:29:15	17412/17412	---M-Z	200	added ('OK')	text/css	etag:%225eb03e58-4404%22	https://cdnjs.cloudflare.com/ajax/libs/fancybox/3.5.7/jquery.fancybox.css	C:/Users/Mr%20Duong/Desktop/codweb/cdnjs.cloudflare.com/ajax/libs/fancybox/3.5.7/jquery.fancybox.css	(from https://luxehotel.webhotel.vn/)
